issue_number,appid,title,resolution_status,resolution_method,confidence_tier,routing_universe,linked_commits,cw_bug_ids,compat_flags,components,symptom_tags,tag_group
9287,2070270,Cloudheim (2070270),addressed,community_workaround,C,unknown,,,,,Startup Crash,
5511,1593500,God of War (1593500),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
7955,1594320,Captain of Industry (1594320),unaddressed,,-,unknown,,,,,UI Issues,
8727,1771300,Kingdom Come: Deliverance II (1771300),unaddressed,,-,unknown,,,,,Freeze Black Screen Cutscene Issue,
6910,2108330,F1 23 (2108330),addressed,community_workaround,C,unknown,,,,,Freeze,
7644,1769320,Athanasy (1769320),addressed,community_workaround,C,unknown,,,,,Freeze,
5402,15950,Reaxxion (15950),addressed,upstream_downstream,C,unknown,,,,,Launch Failure,
4636,1382330,Persona 5 Strikers (1382330),unaddressed,,-,graphics,2516,,,,Black Screen Freeze,
6577,1324130,Stranded: Alien Dawn (1324130),partially_addressed,community_workaround,C,unknown,,,,,Freeze Graphic  / Rendering Issue,
8770,3508140,Worldwide Rush Demo (3508140),unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue,
6288,1953520,WRC Generations – The FIA WRC Official Game (1953520),addressed,upstream_downstream,A,wine,6de51bc22e5bd220ba79cbfae052b08abc4289d2 d597979ccafc1438f009cf9c403ed9b352c7f0f1 1458 1484,,,,Launch Failure,
4608,1364390,Animaze by FaceRig (1364390),partially_addressed,community_workaround,C,unknown,,,,,Installation Failure,
7574,2707900,NIGHT-RUNNERS™ PROLOGUE (2707900),addressed,community_workaround,C,unknown,,,,,Cutscene Issue,
5378,1372280,Melty Blood: Type Lumina (1372280),addressed,proton_update,B,wine,,,,quartz lsteamclient,Cutscene Issue,
6718,268850,EVGA Precision X1 (268850),unaddressed,,-,unknown,,,,,Launch Failure,
5310,1178830,Bright Memory: Infinite (1178830),unaddressed,,-,unknown,,,,,Cutscene Issue Graphic  / Rendering Issue,
6822,482400,System Shock (482400),addressed,upstream_downstream,C,unknown,,,,,Graphic  / Rendering Issue,
8585,2531310,The Last of Us™ Part II Remastered (2531310),unaddressed,,-,unknown,,,,,Audio Issue,
6023,397540,Borderlands 3 (397540) not launching,addressed,upstream_downstream,C,unknown,,,,,Launch Failure Network / Sync Issue,
5197,1760770,Crystal Project Demo (1760770),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
7026,1194810,Meet Your Maker (1194810),addressed,proton_update,B,graphics,,,,DXVK vkd3d-proton d3d11 d3d12 shader amd/radv,Startup Crash,
6595,1448440,Wo Long: Fallen Dynasty (1448440),addressed,proton_update,B,wine,,,,wine media foundation / wmf video,Cutscene Issue Freeze,
6585,22120,Penumbra: Black Plague Gold Edition (22120),unaddressed,,-,unknown,,,,,Launch Failure Black Screen Graphic  / Rendering Issue,
7859,2556990,Beyond Good & Evil - 20th Anniversary Edition (2556990),addressed,upstream_downstream,C,unknown,,,,,Black Screen In-game Crash,
6505,699130,World War Z: Aftermath (699130),addressed,proton_update,B,graphics,,,,DXVK vulkan,Black Screen,
5235,753640,Outer Wilds (753640),addressed,community_workaround,C,unknown,,,,,Black Screen,
6017,1332010,Stray (1332010),unaddressed,,-,unknown,,,,,Launch Failure,
5145,1124300,Humankind (1124300),unaddressed,,-,wine,,,,wine video,In-game Crash,
5491,225540,Just Cause 3 stuttering with Proton 6.3-8,unaddressed,,-,unknown,,,,,Stutter,
6489,1336490,Against the Storm (1336490),addressed,upstream_downstream,C,unknown,,,,,Graphic  / Rendering Issue In-game Crash,
5007,754530,IL-2 Sturmovik: Cliffs of Dover Blitz Edition (754530),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
6817,1364780,Street Fighter 6 (1364780),addressed,upstream_downstream,B,graphics,,,,vkd3d-proton d3d12 vulkan,In-game Crash,
6060,580,Viva piñata,addressed,community_workaround,C,unknown,,,,,Launcher / Verification Issue,
7590,2420110,Horizon Forbidden West (2420110),partially_addressed,upstream_downstream,C,unknown,,,,,Shader Compilation Issue Freeze,
5047,1238840,Battlefield 1 (1238840),unaddressed,,-,unknown,,,,,UI Issues,
9166,394550,Gunman Clive 2 (394550),addressed,community_workaround,C,unknown,,,,,Shader Compilation Issue Graphic  / Rendering Issue,
5806,674140,Bugsnax (674140),addressed,community_workaround,C,unknown,,,,,Black Screen,
4792,206020,Avernum 4 (206020),addressed,upstream_downstream,A,unknown,db92b6b3fc82f9e474f5663b782a2f990bdbf1b1,,,,Launch Failure,
6795,2005010,"Warhammer 40,000: Boltgun (2005010)",partially_addressed,proton_update,B,unknown,,,,dinput/xinput controller/input,Cutscene Issue,
7394,2131640,METAL GEAR SOLID 2: Sons of Liberty - Master Collection Version (2131640),partially_addressed,upstream_downstream,C,unknown,,,,,In-game Crash Memory Leak Cutscene Issue,
6817,1364780,Street Fighter 6 (1364780),addressed,proton_update,A,graphics,1647,,,vkd3d-proton d3d12 vulkan,In-game Crash,
5613,1245620,Elden Ring (1245620),partially_addressed,community_workaround,B,graphics,,,,vkd3d-proton anti-cheat,Launch Failure,
8767,1608450,Hellslave (1608450),partially_addressed,community_workaround,C,unknown,,,,,Input Lag,
8296,2694490,Path of Exile 2 (2694490),unaddressed,,-,graphics,2262,,,,Others,
6723,1716120,Monster Rancher 1 & 2 DX (1716120),addressed,upstream_downstream,C,unknown,,,,,Launcher / Verification Issue,
9026,3919760,Anno 117: Pax Romana Demo (3919760),unaddressed,,-,unknown,,,,,Launch Failure,
6736,820520,Deceive Inc. (820520),unaddressed,,-,unknown,,,,,Freeze Game Feature Missing,
6738,1313140,Cult of the Lamb (1313140),unaddressed,,-,unknown,,,,,Freeze,
5434,552990,World of Warships not launching,unaddressed,,-,unknown,,,,,Graphic  / Rendering Issue Launch Failure,
7453,1284190,The Planet Crafter (1284190),addressed,upstream_downstream,C,unknown,,,,,Black Screen Freeze,
9246,409320,Syndrome (409320),unaddressed,,-,unknown,,,,,Launch Failure,
5102,252950,Errno 22 Invalid argument with vrclient.dll and proton 6.3-6 ,addressed,proton_update,C,unknown,,,,,Launch Failure,
9302,3470360,Gunz the duel (3470360),unaddressed,,-,unknown,,,,,Launcher / Verification Issue,
8255,2537590,Microsoft Flight Simulator 2024 (2537590),partially_addressed,community_workaround,A,graphics,5675d7cd607e88f7ab33009c7f271074fbdddcfd,,,DXVK vkd3d-proton wine,Cutscene Issue,
6241,1182900,A Plague Tale: Requiem (1182900),addressed,community_workaround,B,graphics,,,,wine d3d12 vulkan video,Launch Failure Black Screen,
5812,1895130,Darza's Dominion (1895130),addressed,proton_update,A,proton-wrapper,cf5de03a49454c04f225dbefabbedc38a9828f87 bea1fa891a3402b0a8f29e74e1077da524d7cbfe,,,wine audio video,Launch Failure,
4790,544810,KARDS - The WWII Card Game (544810),addressed,upstream_downstream,C,unknown,,,,,Installation Failure,
6922,294810,BlazBlue: Continuum Shift Extend (294810),unaddressed,,-,unknown,,,,,Cutscene Issue,
5431,20900,The Witcher: Enhanced Edition wont launch,unaddressed,,-,unknown,,,,,Launch Failure,
7012,1999,Supreme Snowboarding (1999),partially_addressed,community_workaround,C,unknown,,,,,Launch Failure,
